supervisor, time, width, height, searchers, rescuers
mothership, 101.600993872, 8, 8, 6, 3
supervisor, 127.449527979, 8, 8, 6, 3
mothership, 131.489975929, 8, 8, 6, 3
supervisor, 125.58378005, 8, 8, 6, 3
mothership, 150.607288122, 8, 8, 6, 3
mothership, 169.141407967, 8, 8, 6, 3
mothership, 145.395437002, 8, 8, 6, 3
supervisor, 134.730029106, 8, 8, 6, 3
mothership, 130.344929934, 8, 8, 6, 3
supervisor, 166.091883898, 8, 8, 6, 3
mothership, 157.332930088, 8, 8, 6, 3
supervisor, 104.614428997, 8, 8, 6, 3
mothership, 159.691309929, 8, 8, 6, 3
supervisor, 145.506377935, 8, 8, 6, 3
mothership, 144.975679874, 8, 8, 6, 3
supervisor, 115.733247042, 8, 8, 6, 3
